Name	"R3node.degree"	"R3node.betw"	"R3node.stress"	"R3node.evcent"	"R3Clustering.Coefficient"	R3No. module	R3Zi	R3Pi
80	3	251	1177	0.000683274148507461	0	6	1.73205080756888	0
409	9	770.146515572628	2739	0.0381586261514854	0.0555555555555556	4	1.54348726628258	0.37037037037037
106	5	565.791566487037	2051	0.134298908419888	0.1	2	-0.613678413796143	0.56
122	5	746.871823647056	2736	0.0854415080865421	0	4	-0.209609381840844	0.48
215	2	372	1761	0.00462309984678686	0	6	-0.577350269189626	0.5
13	1	0	0	9.69211479504371e-05	0	6	-0.577350269189626	0
346	4	268.90684397302	732	0.0101498186388862	0	3	0.286731172181664	0.375
235	7	918.111749853448	3755	0.056947446355056	0.142857142857143	0	0.0880450906325624	0.571428571428571
433	1	0	0	0.00585592779544892	0	2	-1.37347073563899	0
76	4	145.810256410256	401	0.0412830859518465	0.166666666666667	2	-0.233782252874721	0
121	2	29.3512222726148	278	0.0698021234026887	0	0	-1.05654108759075	0.5
417	17	1744.55129408831	6103	0.353755522456189	0.0808823529411765	2	2.04559471265381	0.581314878892734
107	7	675.882417883114	2681	0.140234343719962	0.0952380952380952	2	0.526010068968123	0.244897959183674
309	4	445.935381594109	1183	0.0589283163636326	0	1	-0.240192230707631	0.625
157	6	237.345402146873	832	0.0284277291364552	0.4	4	0.666938942220868	0.277777777777778
335	3	157.171460892049	374	0.00699317047600565	0	3	-0.327692768207616	0.444444444444444
90	12	1058.55235251891	3908	0.0557313413925832	0.106060606060606	4	2.85830975237515	0.291666666666667
245	2	93.1422077922078	276	0.0367678092180561	0	2	-1.37347073563899	0.5
103	4	107.932232473409	435	0.0362113279601752	0.333333333333333	0	-0.293483635441875	0.375
60	4	141.689213684866	444	0.110367725190761	0.5	2	-0.613678413796143	0.375
334	4	90.2856612341907	320	0.01204368123443	0	3	0.286731172181664	0.375
214	2	1	1	6.84311078348513e-77	0	9	0	0
372	6	601.450079375078	1867	0.0909495411112183	0	1	1.52121746114833	0.5
10	5	136.989892344435	1123	0.114685841773563	0.4	2	-0.233782252874721	0.32
17	3	177.56900969401	770	0.0144834278977758	0	4	-0.6478835438717	0.444444444444444
238	1	0	0	0.00541272907369332	0	4	-1.08615770590256	0
330	7	385.291117052882	1165	0.203474147666543	0.238095238095238	2	0.905906229889545	0
9	1	0	0	0.00691427685705409	0	8	0	0
34	1	0	0	0.000519746033975534	0	5	-1.22474487139159	0
219	1	0	0	0.0020518636470118	0	4	-1.08615770590256	0
419	7	694.171448486154	3052	0.0319086284328084	0.0952380952380952	0	0.0880450906325624	0.612244897959184
378	7	132.464319418112	572	0.244504334726661	0.428571428571429	2	0.905906229889545	0
14	5	37.659111210427	156	0.168954498007307	0.5	2	0.146113908046701	0
74	3	106.156754356754	389	0.0592245938925792	0.333333333333333	2	-0.613678413796143	0
82	3	160.797379009879	631	0.0669580635599439	0.333333333333333	0	-0.675012361516312	0.444444444444444
25	2	0	0	0.00685781036854847	1	4	-0.6478835438717	0
64	2	53.0260359809273	154	0.00366137795176156	0	5	0.816496580927727	0
367	1	0	0	0.050179552934105	0	2	-1.37347073563899	0
345	6	340.255601268581	1073	0.0175509443368986	0.133333333333333	4	-0.209609381840844	0.611111111111111
68	5	42.5771756021756	166	0.0234055869555689	0.5	4	0.666938942220868	0
182	6	463.703080369063	1523	0.0501771745893465	0.266666666666667	4	0.228664780190012	0.5
5	1	0	0	0.00394570260572458	0	3	-0.942116708596896	0
161	1	0	0	0.022211953657117	0	0	-1.05654108759075	0
380	10	521.559408380017	2370	0.119333219482459	0.288888888888889	0	2.37721744707918	0
436	4	16.7277056277056	86	0.0177872164782759	0.666666666666667	3	0.286731172181664	0.375
329	9	371.281860938862	1441	0.286638327343829	0.333333333333333	2	0.526010068968123	0.493827160493827
167	1	0	0	0.00270559320058346	0	4	-1.08615770590256	0
86	1	0	0	0.000243902571085007	0	0	-1.05654108759075	0
384	1	0	0	3.79868957594294e-93	0	16	0	0
196	2	126	314	0.00853051187790838	0	1	-0.240192230707631	0
7	1	0	0	3.79868957594294e-93	0	10	0	0
33	2	0	0	0.0264550389551119	1	0	-0.675012361516312	0
141	3	33.3869769119769	120	0.0799461518103842	0.333333333333333	1	-1.12089707663561	0.666666666666667
78	4	133.61256145815	461	0.00933188751508571	0	1	0.640512615220349	0.375
217	7	305.757574908341	971	0.0979354542933136	0.0952380952380952	1	2.40192230707631	0.408163265306122
46	1	0	0	0.00098935688698663	0	1	-1.12089707663561	0
268	3	76.5047619047619	207	0.00601551099495385	0.333333333333333	3	0.286731172181664	0
306	5	58.5594374607684	496	0.0811993812681002	0.5	0	0.469573816706999	0
320	1	0	0	0.00162500165615698	0	4	-1.08615770590256	0
176	2	7.85281385281385	33	0.00986631601149587	0	3	-0.942116708596896	0.5
226	2	229.432323232323	603	0.045883720068516	0	1	-1.12089707663561	0.5
398	1	0	0	0.00062003153942419	0	7	-0.577350269189626	0
75	1	0	0	0.00406792182336712	0	3	-0.942116708596896	0
299	7	374.079345500386	1369	0.156589702592952	0.19047619047619	0	0.0880450906325624	0.571428571428571
187	1	0	0	0.00683246848652825	0	0	-1.05654108759075	0
190	1	0	0	0.0129010206854628	0	1	-1.12089707663561	0
358	3	154.087771270124	522	0.0144652164864347	0	4	-0.209609381840844	0
98	4	342.804926534818	940	0.0216500452568976	0.166666666666667	0	-0.675012361516312	0.625
377	1	0	0	0.00270559320058346	0	4	-1.08615770590256	0
388	1	0	0	0.0141110535702572	0	0	-1.05654108759075	0
276	1	0	0	6.84311078348513e-77	0	9	0	0
198	2	53.229797979798	148	0.00229756320882347	0	1	-0.240192230707631	0
301	3	506.366921041921	1856	0.0289552240160449	0	2	-0.993574574717566	0.444444444444444
87	3	81.0529726980965	253	0.0166849699889329	0	1	-0.240192230707631	0.444444444444444
11	1	0	0	3.79868957594294e-93	0	14	0	0
48	1	0	0	3.79868957594294e-93	0	13	0	0
63	3	42.1285714285714	84	0.0247187408753511	0.333333333333333	1	0.640512615220349	0
225	2	126	477	0.00171946293614471	0	0	-0.675012361516312	0
29	1	0	0	0.00844321559681627	0	2	-1.37347073563899	0
99	1	0	0	3.79868957594294e-93	0	12	0	0
131	3	6.33333333333333	11	0.0224825915582969	0.333333333333333	2	-0.613678413796143	0
319	3	46.2510794760795	181	0.0579899642756655	0	2	-0.613678413796143	0
410	3	161.295454545455	423	0.00697476246797422	0	1	0.640512615220349	0
67	1	0	0	3.79868957594294e-93	0	11	0	0
412	8	234.768498825673	1603	0.177263301729568	0.214285714285714	2	0.905906229889545	0.21875
146	6	292.72125962273	904	0.0575118163697115	0.266666666666667	0	-0.293483635441875	0.5
228	5	191.104761904762	609	0.00922258537116998	0.2	1	1.52121746114833	0.32
244	1	0	0	3.79868957594294e-93	0	14	0	0
291	1	0	0	3.79868957594294e-93	0	12	0	0
311	1	0	0	3.79868957594294e-93	0	11	0	0
352	1	0	0	3.79868957594294e-93	0	10	0	0
375	12	883.582317264766	2853	0.329808230743302	0.242424242424242	2	2.04559471265381	0.291666666666667
260	2	0	0	0.0173982660008631	1	1	-0.240192230707631	0
339	1	0	0	0.00062003153942419	0	7	-0.577350269189626	0
393	1	0	0	0.00062003153942419	0	7	-0.577350269189626	0
430	5	153.89378521805	691	0.019073875313323	0.3	4	0.666938942220868	0
102	5	153.89378521805	691	0.019073875313323	0.3	4	0.666938942220868	0
328	1	0	0	0.00691427685705409	0	8	0	0
425	9	687.519672515444	2863	0.0914466230803961	0.333333333333333	0	1.99568872100475	0
65	2	34.0130952380952	94	0.00859410052220355	0	3	-0.942116708596896	0.5
105	4	74.7766219617916	747	0.0777354844947927	0.333333333333333	0	-0.675012361516312	0.5
