Name	"R1node.degree"	"R1node.betw"	"R1node.stress"	"R1node.evcent"	"R1Clustering.Coefficient"	R1No. module	R1Zi	R1Pi
23	1	0	0	0.00261782706921048	0	7	-1.21267812518166	0
363	1	0	0	0.00261782706921048	0	7	-1.21267812518166	0
173	6	302.817435342435	852	0.0940174544999941	0.0666666666666667	0	0.184068778331295	0.277777777777778
92	2	184	368	4.54712234546126e-06	0	2	0	0
122	7	2002.35709666769	8502	0.0112071935067319	0.142857142857143	3	1.87032938408755	0
270	9	866.868117103449	2869	0.282782317388043	0.277777777777778	0	1.33095885870321	0.197530864197531
326	1	0	0	0.0168326621866245	0	0	-1.34511799549792	0
82	3	367	855	0.00109843597833012	0	6	0.569651921139812	0
196	7	2002.35709666769	8502	0.0112071935067319	0.142857142857143	3	1.87032938408755	0
303	2	161.442171717172	410	0.00221002860870899	0	11	0	0
149	2	0	0	2.94824113963847e-05	1	2	0	0
131	4	1431	2943	0.00128472612361839	0.166666666666667	1	-0.341279063282745	0.375
414	1	0	0	6.72598875751962e-07	0	2	-1.08012344973464	0
35	1	0	0	2.98108653717514e-139	0	20	0	0
127	3	672.920213120213	1276	6.25215462785306e-05	0	2	1.08012344973464	0
110	1	0	0	2.88312998823727e-114	0	15	0	0
210	1	0	0	0.00112755203698857	0	3	-1.09396624352291	0
246	5	898.803007945002	3486	0.0592562114554989	0.1	0	-0.580524608583314	0.48
269	3	956.220717400241	2041	0.00397700678140078	0	6	-0.732409612894043	0.666666666666667
79	2	366	918	0.0188427686998681	0	0	-0.962821302040618	0
13	6	1603.52862749188	6107	0.0179872405541875	0.333333333333333	3	0.882230841550732	0.277777777777778
96	2	3.33333333333333	10	0.0138735087437926	0	6	-0.0813788458771159	0
282	1	0	0	0.00039633071550584	0	10	0	0
345	4	367	741	0.0176978885811183	0.166666666666667	7	0.970142500145332	0
190	4	74.7196755858521	340	0.00651990746184451	0.166666666666667	1	0.0525044712742685	0
268	2	184	750	9.89181334152248e-05	0	1	-0.735062597839759	0
98	3	340.99613997114	869	0.0122615531887593	0	11	0	0
213	1	0	0	2.98108653717514e-139	0	16	0	0
352	3	366	734	3.00683410366562e-05	0.333333333333333	2	1.08012344973464	0
153	1	0	0	0.000162477881165276	0	6	-0.732409612894043	0
249	2	0	0	0.000364114410754451	1	3	-0.599916972254498	0
245	1	0	0	4.79194124639133e-06	0	2	-1.08012344973464	0
121	3	120.770634920635	318	0.00134637320306738	0.333333333333333	3	-0.105867700986088	0
382	1	0	0	2.98108653717514e-139	0	23	0	0
78	8	1768.79351016574	5066	0.00877121367035197	0.285714285714286	1	1.62763860950232	0
63	4	1006.69036539551	2865	0.058278645089238	0	4	0	0.625
187	1	0	0	0.00693493713761545	0	6	-0.732409612894043	0
320	2	546	1278	0.00710104948734242	0	6	-0.0813788458771159	0
291	2	0.333333333333333	1	0.000281238524604528	0	3	-0.599916972254498	0
260	3	76.3333333333333	424	0.0014087905615931	0.333333333333333	3	-0.105867700986088	0
339	2	0.333333333333333	1	0.000281238524604528	0	3	-0.599916972254498	0
1	1	0	0	0.000757625288483489	0	7	-1.21267812518166	0
263	2	0	0	3.47747825485588e-05	1	13	0	0
369	2	0	0	0.010133110576149	1	3	-0.599916972254498	0
386	1	0	0	2.98108653717514e-139	0	19	0	0
411	1	0	0	4.79194124639133e-06	0	2	-1.08012344973464	0
441	6	677.038782512086	3091	0.125445930511742	0.266666666666667	9	-0.420542382164398	0.611111111111111
21	1	0	0	4.79194124639133e-06	0	2	-1.08012344973464	0
113	1	0	0	0.0120200202618484	0	6	-0.732409612894043	0
43	3	1019.75777462448	2209	0.0550824745099266	0	2	-1.08012344973464	0.666666666666667
272	1	0	0	8.14954463374809e-05	0	5	-0.763479897838931	0
416	1	0	0	2.98108653717514e-139	0	18	0	0
418	1	0	0	1.93947509651725e-06	0	5	-0.763479897838931	0
413	1	0	0	2.98108653717514e-139	0	17	0	0
9	3	646.700466200466	1481	0.00236408198932857	0.333333333333333	1	-0.341279063282745	0
90	3	366	744	0.000200321046655642	0.333333333333333	13	0	0
306	2	0	0	0.00245366564220904	1	4	0	0
198	7	285.49126984127	1033	0.00570948312329544	0.428571428571429	1	1.23385507494531	0
292	2	0.142857142857143	1	0.00331547962927868	0	3	-0.599916972254498	0
327	1	0	0	0.000162477881165276	0	6	-0.732409612894043	0
379	1	0	0	0.00181369804093818	0	11	0	0
