Sample	shoot30	root	dry	shoot15	Bsurv	Esurv	EndoIC	RhizoIC	Bbulk	Ebulk	Brhizo	Erizo	Bendo	Eendo	EndoP	RhizoP
RCS31	63.67	24.00	0.357	38.83			28.13	27.82							-3.85	1.72
RCS32	62.50	28.13	0.336	40.25			34.67	28.10							-3.85	1.72
RCS33	53.88	24.88	0.302	36.38			34.08	13.98							-3.85	1.72
RBS31	51.33	21.83	0.323	34.33	78.83		24.69	14.15	0.65		1.06		0.01		-3.37	-0.66
RBS32	58.75	21.13	0.284	32.38	56.41		36.17	30.56	1.62		0.45		0.01		-3.37	-0.66
RBS33	50.50	21.25	0.326	33.88	81.65		27.75	17.38			1.23		0.01		-3.37	-0.66
RES31	50.83	23.83	0.373	35.67		62.22	26.42	35.47		0.93		0.10		87.35	-2.99	-3.37
RES32	50.38	21.50	0.343	34.00		86.05	24.72	29.78		2.25		0.28		3.01	-2.99	-3.37
RES33	51.00	22.50	0.346	36.38		103.15	28.56	23.83		0.64		0.25			-2.99	-3.37
RMS31	54.67	19.00	0.241	30.17	65.87	104.12	28.12	30.03	0.96	1.50	0.35	0.16	0.05	99.00	-3.74	0.07
RMS32	50.75	19.25	0.233	33.13	87.00	94.66	27.49	30.62	0.37	1.17	0.63	0.20	0.02	73.82	-3.74	0.07
RMS33	50.13	18.25	0.231	30.75	108.96	70.60	21.12	23.14	0.67	0.68	2.02	1.48	0.09	31.88	-3.74	0.07
